strategy,symbol,date,entry_time,exit_time,direction,setup,entry,stop,risk_pct,target_r,partial_hit,exit_reason,pnl_r
Jason Berry,CL=F,2026-05-19,10:25,10:25,short,OR breakdown + EMA trend,103.14,103.536,0.384,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-20,10:05,10:10,long,OR breakout + EMA trend,102.43,102.1195,0.303,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-21,12:00,12:00,short,OR breakdown + EMA trend,100.12,100.567,0.446,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-22,13:05,13:10,short,OR breakdown + EMA trend,96.36,96.5935,0.242,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-26,11:25,11:25,long,OR breakout + EMA trend,94.64,94.2745,0.386,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-27,10:20,10:20,long,OR breakout + EMA trend,90.13,89.7575,0.413,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-28,10:10,10:10,short,OR breakdown + EMA trend,88.44,89.2286,0.892,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-05-29,10:05,10:50,long,OR breakout + EMA trend,88.32,87.7918,0.598,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-01,10:30,10:30,long,OR breakout + EMA trend,94.27,93.8005,0.498,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-02,10:30,11:25,short,OR breakdown + EMA trend,91.91,92.189,0.304,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-03,10:30,13:05,long,OR breakout + EMA trend,95.44,94.9055,0.56,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-04,11:00,11:05,long,OR breakout + EMA trend,93.17,92.9535,0.232,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-05,10:05,10:25,short,OR breakdown + EMA trend,91.17,91.5835,0.454,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-08,10:05,10:10,long,OR breakout + EMA trend,91.28,90.9875,0.32,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-09,11:45,12:35,short,OR breakdown + EMA trend,87.36,87.6515,0.334,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-10,10:05,10:10,long,OR breakout + EMA trend,89.91,89.6875,0.247,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-11,10:30,10:55,long,OR breakout + EMA trend,90.28,89.983,0.329,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-12,10:55,12:55,short,OR breakdown + EMA trend,84.96,85.6265,0.784,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-15,10:05,10:10,short,OR breakdown + EMA trend,80.09,80.346,0.32,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-16,10:25,15:50,short,OR breakdown + EMA trend,76.57,76.7995,0.3,1.0,True,time,1.154
Jason Berry,CL=F,2026-06-17,10:10,10:10,long,OR breakout + EMA trend,76.84,76.4875,0.459,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-18,10:15,10:30,short,OR breakdown + EMA trend,73.03,73.257,0.311,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-22,11:10,11:25,short,OR breakdown + EMA trend,73.4,74.4345,1.409,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-23,10:05,10:35,short,OR breakdown + EMA trend,72.66,73.0082,0.479,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-24,11:35,11:35,long,OR breakout + EMA trend,70.42,70.14,0.398,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-06-25,10:10,10:50,long,OR breakout + EMA trend,70.59,70.322,0.38,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-26,10:35,10:50,short,OR breakdown + EMA trend,69.1,69.3445,0.354,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-29,10:15,11:00,long,OR breakout + EMA trend,70.36,70.1575,0.288,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-06-30,10:15,10:30,short,OR breakdown + EMA trend,70.63,70.8565,0.321,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-01,10:40,14:25,short,OR breakdown + EMA trend,68.65,68.87,0.32,1.0,True,breakeven,0.5
Jason Berry,CL=F,2026-07-02,10:20,10:40,short,OR breakdown + EMA trend,67.56,67.7585,0.294,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-06,10:35,10:50,long,OR breakout + EMA trend,69.1,68.8,0.434,1.0,False,stop,-1.0
Jason Berry,CL=F,2026-07-07,10:05,10:15,long,OR breakout + EMA trend,70.49,70.1118,0.537,1.0,False,stop,-1.0
